virus_id	length	topology	n_genes	virus_score	n_hallmarks	marker_enrichment	taxonomy	completeness	checkv_quality	PhaTYP	class	vcontact_family	phagcn_family	anti_CRISPR_id	tRNA_num	Host_Phylum	CRISPR
AAB-S04R3_NODE_569_length_56576_cov_6.062065	56576	No terminal repeats	83	0.9921	6	34.2209	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	95.86	High-quality	temperate	c__Caudoviricetes	NA	Orlajensenviridae	NA	NA	p__Firmicutes	No
AAB-S04R3_NODE_1680_length_33423_cov_23.510909	33423	No terminal repeats	41	0.9918	6	20.6746	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	58.42	Medium-quality	virulent	c__Caudoviricetes	NA	Ackermannviridae	NA	NA	p__Firmicutes	No
AAB-S04R3_NODE_106_length_106962_cov_5.236430	106962	No terminal repeats	158	0.9918	4	56.9587	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	77.01	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	5	p__Actinobacteriota	No
AAB-S04R3_NODE_3332_length_22501_cov_4.339259	22501	No terminal repeats	33	0.9915	3	21.9697	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	50.99	Medium-quality	virulent	c__Caudoviricetes	NA	Vilmaviridae	NA	NA	p__Actinobacteriota	No
AAB-S04R3_NODE_1049_length_42479_cov_20.490383	42479	DTR	58	0.9915	6	31.4236	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	temperate	c__Caudoviricetes	Podoviridae	NA	NA	NA	p__Proteobacteria	No
AAB-S04R3_NODE_829_length_47442_cov_9.232680	47442	DTR	63	0.9913	3	22.2839	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	52.03	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA		No
AAB-S04R3_NODE_208_length_83690_cov_31.333282	83690	DTR	128	0.9913	2	42.3958	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	55.72	Medium-quality	virulent	c__Caudoviricetes	NA	Zobellviridae	NA	NA	p__Proteobacteria	No
AAB-S04R3_NODE_1312_length_37579_cov_4.025131	37579	No terminal repeats	57	0.9912	4	21.2815	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	92.72	High-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S04R3_NODE_159_length_91449_cov_6.702180	91449	No terminal repeats	141	0.9912	4	26.2439	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	97.95	High-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Firmicutes	No
AAB-S04R3_NODE_338_length_70241_cov_12.791796	70241	DTR	81	0.9899	4	29.5703	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	temperate	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Cyanobacteria	No
AAB-S04R3_NODE_2307_length_27720_cov_6.370432	27720	No terminal repeats	25	0.9895	6	16.493	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	68.43	Medium-quality	temperate	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Proteobacteria	No
AAB-S04R3_NODE_358_length_68274_cov_16.941131	68274	DTR	105	0.9893	8	40.9285	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	74.6	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	1	p__Actinobacteriota	Yes
AAB-S04R3_NODE_441_length_62531_cov_5.189497	62531	No terminal repeats	103	0.9893	7	35.7911	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	66.97	Medium-quality	temperate	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Firmicutes	No
AAB-S04R3_NODE_475_length_60897_cov_4.519871	60897	No terminal repeats	83	0.9889	0	17.1997	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	57.24	Medium-quality	virulent	c__Caudoviricetes	NA	Drexlerviridae	NA	1	p__Proteobacteria	No
AAB-S04R3_NODE_66_length_124288_cov_65.076115	124288	No terminal repeats	190	0.9885	3	52.7671	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	92.95	High-quality	virulent	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	19	p__Actinobacteriota	No
AAB-S04R3_NODE_3148_length_23284_cov_7.730811	23284	No terminal repeats	35	0.9883	4	34.66	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	64.17	Medium-quality	temperate	c__Caudoviricetes	Podoviridae	NA	NA	NA	p__Proteobacteria	No
AAB-S04R3_NODE_1355_length_37137_cov_5.735586	37137	No terminal repeats	51	0.9879	10	26.4525	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	79.18	Medium-quality	temperate	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Firmicutes	No
AAB-S04R3_NODE_1169_length_39883_cov_20.261048	39883	No terminal repeats	62	0.9876	2	15.51	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	97.38	High-quality	virulent	c__Caudoviricetes	NA	Ackermannviridae	NA	NA	p__Actinobacteriota	No
AAB-S04R3_NODE_1637_length_33935_cov_4.689965	33935	No terminal repeats	58	0.9876	9	38.5797	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	55.95	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Firmicutes	No
AAB-S04R3_NODE_2088_length_29366_cov_5.017536	29366	No terminal repeats	42	0.987	7	24.7961	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	71.84	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S04R3_NODE_247_length_78009_cov_4.800062	78009	No terminal repeats	125	0.9868	4	47.7668	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	84.81	Medium-quality	virulent	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Actinobacteriota	Yes
AAB-S04R3_NODE_995_length_43652_cov_19.569191	43652	DTR	59	0.9866	4	21.0443	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Firmicutes	No
AAB-S04R3_NODE_1394_length_36587_cov_3.974105	36587	No terminal repeats	46	0.9866	3	12.4567	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	86.64	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA		No
AAB-S04R3_NODE_697_length_51506_cov_4.148549	51506	No terminal repeats	98	0.9863	0	16.8497	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	61.53	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Actinobacteriota	No
AAB-S04R3_NODE_489_length_60169_cov_26.349503	60169	No terminal repeats	82	0.9854	5	24.0141	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	58.07	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S04R3_NODE_844_length_46830_cov_4.712496	46830	No terminal repeats	55	0.9844	5	34.1048	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	High-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Firmicutes	Yes
AAB-S04R3_NODE_1077_length_41878_cov_8.938957	41878	DTR	59	0.983	7	26.949	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Proteobacteria	No
AAB-S04R3_NODE_1407_length_36419_cov_5.699181	36419	No terminal repeats	57	0.9827	7	26.5977	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	87.07	Medium-quality	temperate	c__Caudoviricetes	NA	Peduoviridae	NA	NA	p__Proteobacteria	No
AAB-S04R3_NODE_1557_length_34841_cov_17.901598	34841	No terminal repeats	41	0.9805	12	34.6598	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	81.75	Medium-quality	temperate	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Proteobacteria	No
AAB-S04R3_NODE_794_length_48504_cov_12.854321	48504	No terminal repeats	68	0.9795	2	12.2914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	High-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Chloroflexota	No
AAB-S04R3_NODE_588_length_55592_cov_10.505249	55592	No terminal repeats	83	0.9791	5	29.0119	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	84.49	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Firmicutes	No
AAB-S04R3_NODE_541_length_57790_cov_9.811258	57790	No terminal repeats	92	0.9784	3	21.2694	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	High-quality	temperate	c__Caudoviricetes	NA	Salasmaviridae	NA	NA	p__Firmicutes	No
AAB-S04R3_NODE_720_length_50673_cov_11.870817	50673	DTR	88	0.9773	6	39.1733	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	69.13	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Proteobacteria	No
AAB-S04R3_NODE_1966_length_30343_cov_15.970979	30343	No terminal repeats	37	0.9758	1	13.5212	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	70.93	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S04R3_NODE_2075_length_29446_cov_15.844748	29446	No terminal repeats	44	0.9723	5	19.3378	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	68.92	Medium-quality	temperate	c__Caudoviricetes	Podoviridae	NA	NA	NA	p__Actinobacteriota	No
AAB-S04R3_NODE_796_length_48469_cov_16.588198	48469	No terminal repeats	79	0.9717	4	19.2644	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	High-quality	temperate	c__Caudoviricetes	NA	NA	NA	3	p__Proteobacteria	Yes
AAB-S04R3_NODE_1054_length_42420_cov_12.573539	42420	No terminal repeats	63	0.97	5	19.1075	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	56.45	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Firmicutes	No
AAB-S04R3_NODE_3_length_414106_cov_8.976590	414106	No terminal repeats	644	0.97	12	116.2278	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	96.39	High-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	10	p__Proteobacteria	No
AAB-S04R3_NODE_558_length_56960_cov_10.932256	56960	No terminal repeats	71	0.9689	5	20.3384	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	57.09	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Bacteroidota	No
AAB-S04R3_NODE_89_length_112714_cov_5.569284	112714	No terminal repeats	161	0.9666	8	45.0362	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	92.39	High-quality	virulent	c__Caudoviricetes	NA	Ackermannviridae	NA	NA	p__Proteobacteria	No
AAB-S04R3_NODE_937_length_44852_cov_13.828828	44852	No terminal repeats	64	0.9637	4	15.9767	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	High-quality	virulent	c__Caudoviricetes	NA	NA	NA	1	p__Actinobacteriota	No
AAB-S04R3_NODE_473_length_60965_cov_5.763372	60965	ITR	91	0.9567	5	50.842	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	temperate	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Proteobacteria	No
AAB-S04R3_NODE_277_length_75134_cov_8.567269	75134	No terminal repeats	126	0.9477	6	68.2769	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	78.51	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Proteobacteria	No
AAB-S04R3_NODE_730_length_50512_cov_5.588779	50512	No terminal repeats	64	0.9377	4	16.2712	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	60.26	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Proteobacteria	No
AAB-S04R3_NODE_1892_length_31089_cov_7.396823	31089	No terminal repeats	36	0.903	0	6.5177	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	56.47	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Fusobacteria	No
AAB-S04R3_NODE_403_length_65167_cov_5.330937	65167	DTR	99	0.8639	5	13.1382	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	60.27	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Actinobacteriota	No
AAB-S04R3_NODE_1539_length_34995_cov_9.214081	34995	No terminal repeats	38	0.8269	0	6.9603	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	56.13	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S04R4_NODE_300_length_115985_cov_8.679470	115985	No terminal repeats	161	0.9958	8	79.7956	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	95.14	High-quality	virulent	c__Caudoviricetes	NA	Herelleviridae	NA	1	p__Verrucomicrobiota	No
AAB-S04R4_NODE_1561_length_48024_cov_60.834289	48024	No terminal repeats	65	0.9952	7	36.8001	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	High-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Tenericutes	No
AAB-S04R4_NODE_1844_length_43703_cov_6.154051	43703	DTR	54	0.9947	3	26.6785	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Actinobacteriota	No
AAB-S04R4_NODE_853_length_67721_cov_4.324077	67721	DTR	98	0.9947	11	57.1675	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	Myoviridae	Chaseviridae	NA	NA	p__Myxococcota	No
AAB-S04R4_NODE_476_length_92452_cov_135.906999	92452	DTR	80	0.9944	6	46.7097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Ackermannviridae	NA	2		No
AAB-S04R4_NODE_3165_length_31090_cov_5.807765	31090	No terminal repeats	34	0.9938	4	20.4641	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	65.59	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S04R4_NODE_880_length_66724_cov_54.848160	66724	No terminal repeats	88	0.9938	6	39.5515	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	High-quality	temperate	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Fusobacteria	No
AAB-S04R4_NODE_2400_length_36878_cov_15.085056	36878	No terminal repeats	52	0.9935	10	29.2398	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	High-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Proteobacteria	No
AAB-S04R4_NODE_2606_length_35052_cov_6.431980	35052	No terminal repeats	53	0.9935	7	21.5104	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	59.57	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S04R4_NODE_1693_length_45687_cov_7.878638	45687	No terminal repeats	53	0.993	3	27.9733	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	72.16	Medium-quality	temperate	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Chloroflexota	No
AAB-S04R4_NODE_1953_length_41904_cov_7.344739	41904	DTR	66	0.9929	10	52.581	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Straboviridae	NA	NA	p__Actinobacteriota	No
AAB-S04R4_NODE_1024_length_61699_cov_3.565294	61699	No terminal repeats	89	0.9928	12	54.5061	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	67.53	Medium-quality	temperate	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Cyanobacteria	No
AAB-S04R4_NODE_1173_length_56526_cov_5.655221	56526	No terminal repeats	96	0.9927	6	42.3903	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	70.6	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Proteobacteria	No
AAB-S04R4_NODE_2037_length_40932_cov_8.280573	40932	No terminal repeats	57	0.9927	9	38.2032	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	79.12	Medium-quality	virulent	c__Caudoviricetes	NA	Peduoviridae	NA	NA	p__Actinobacteriota	No
AAB-S04R4_NODE_2869_length_33055_cov_3.662273	33055	No terminal repeats	54	0.9926	5	33.1106	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	84.72	Medium-quality	virulent	c__Caudoviricetes	Podoviridae	NA	NA	1	p__Myxococcota	No
AAB-S04R4_NODE_4484_length_24699_cov_5.160323	24699	No terminal repeats	38	0.9925	7	24.9427	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	67.27	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Proteobacteria	No
AAB-S04R4_NODE_3850_length_27373_cov_84.387400	27373	No terminal repeats	31	0.9923	3	24.4568	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	57.93	Medium-quality	virulent	c__Caudoviricetes	NA	Herelleviridae	NA	NA	p__Proteobacteria	No
AAB-S04R4_NODE_2706_length_34225_cov_4.814486	34225	No terminal repeats	34	0.9923	3	17.2748	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	60.93	Medium-quality	virulent	c__Caudoviricetes	NA	Drexlerviridae	NA	NA	p__Proteobacteria	No
AAB-S04R4_NODE_2004_length_41284_cov_4.747653	41284	No terminal repeats	69	0.9919	5	26.3845	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	79.27	Medium-quality	virulent	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Proteobacteria	No
AAB-S04R4_NODE_2225_length_38658_cov_4.726576	38658	No terminal repeats	59	0.9918	7	30.808	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	74.4	Medium-quality	virulent	c__Caudoviricetes	Podoviridae	NA	NA	NA	p__Actinobacteriota	No
AAB-S04R4_NODE_520_length_89098_cov_72.318599	89098	No terminal repeats	120	0.9915	6	44.5273	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	High-quality	virulent	c__Caudoviricetes	NA	Autographiviridae	NA	NA	p__Actinobacteriota	No
AAB-S04R4_NODE_1123_length_58033_cov_8.255735	58033	DTR	90	0.9914	8	33.2937	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	77.58	Medium-quality	virulent	c__Caudoviricetes	NA	Ackermannviridae	NA	NA	p__Proteobacteria	No
AAB-S04R4_NODE_152_length_165378_cov_10.033873	165378	DTR	189	0.9913	9	51.9156	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Herelleviridae	NA	5	p__Proteobacteria	No
AAB-S04R4_NODE_2354_length_37322_cov_4.060187	37322	No terminal repeats	57	0.9913	3	28.325	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	61.6	Medium-quality	virulent	c__Caudoviricetes	NA	Zobellviridae	NA	NA	p__Actinobacteriota	No
AAB-S04R4_NODE_1184_length_56175_cov_70.205239	56175	DTR	71	0.9912	11	30.6697	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	78.27	Medium-quality	virulent	c__Caudoviricetes	NA	Peduoviridae	NA	NA	p__Chloroflexota	Yes
AAB-S04R4_NODE_1572_length_47853_cov_55.514708	47853	No terminal repeats	52	0.9912	2	20.8069	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;	64.16	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Firmicutes	No
AAB-S04R4_NODE_150_length_166367_cov_7.637176	166367	DTR	235	0.9912	8	83.9013	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Drexlerviridae	NA	1	p__Proteobacteria	No
AAB-S04R4_NODE_2898_length_32853_cov_4.205958	32853	No terminal repeats	51	0.9909	1	15.9794	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	54.26	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Cyanobacteria	No
AAB-S04R4_NODE_2627_length_34871_cov_3.666446	34871	No terminal repeats	55	0.9908	2	18.7029	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	76.24	Medium-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S04R4_NODE_1182_length_56229_cov_4.391640	56229	No terminal repeats	84	0.9907	3	26.2877	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	61.53	Medium-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	NA	p__Proteobacteria	No
AAB-S04R4_NODE_2029_length_41040_cov_4.824741	41040	No terminal repeats	53	0.9906	6	32.9316	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	95.14	High-quality	temperate	c__Caudoviricetes	Podoviridae	NA	NA	NA	p__Chloroflexota	No
AAB-S04R4_NODE_2575_length_35259_cov_5.547495	35259	DTR	51	0.9906	3	16.9515	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	temperate	c__Caudoviricetes	NA	NA	NA	1	p__Actinobacteriota	No
AAB-S04R4_NODE_986_length_63068_cov_123.719201	63068	No terminal repeats	89	0.9904	7	20.1818	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	79.41	Medium-quality	virulent	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	1	p__Proteobacteria	No
AAB-S04R4_NODE_3726_length_27981_cov_4.333811	27981	No terminal repeats	35	0.9904	4	18.5106	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	68.47	Medium-quality	virulent	c__Caudoviricetes	NA	Peduoviridae	NA	NA	p__Elusimicrobia	No
AAB-S04R4_NODE_1108_length_58760_cov_59.997087	58760	DTR	82	0.9903	9	20.9368	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	64.53	Medium-quality	virulent	c__Caudoviricetes	NA	Drexlerviridae	NA	NA	p__Firmicutes	Yes
AAB-S04R4_NODE_1565_length_47957_cov_4.408417	47957	No terminal repeats	74	0.9902	5	29.4774	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	65.49	Medium-quality	virulent	c__Caudoviricetes	NA	Casjensviridae	NA	NA	p__Firmicutes	No
AAB-S04R4_NODE_905_length_65970_cov_5.101767	65970	DTR	94	0.9901	11	65.4248	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Peduoviridae	NA	NA	p__Bacteroidota	No
AAB-S04R4_NODE_4328_length_25296_cov_4.281724	25296	No terminal repeats	32	0.99	5	20.2273	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	50.16	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	1	p__Actinobacteriota	No
AAB-S04R4_NODE_1191_length_56065_cov_11.345795	56065	DTR	87	0.9898	8	27.5964	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	79.35	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Actinobacteriota	No
AAB-S04R4_NODE_207_length_139301_cov_8.907509	139301	DTR	213	0.9897	11	40.0789	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	virulent	c__Caudoviricetes	NA	Schitoviridae	NA	10	p__Proteobacteria	No
AAB-S04R4_NODE_1557_length_48105_cov_3.348616	48105	No terminal repeats	78	0.9894	5	21.9184	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	91.3	High-quality	virulent	c__Caudoviricetes	NA	Chaseviridae	NA	1	p__Actinobacteriota	No
AAB-S04R4_NODE_1856_length_43481_cov_10.712269	43481	DTR	55	0.9892	6	33.9075	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	Complete	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Cyanobacteria	Yes
AAB-S04R4_NODE_2062_length_40616_cov_40.198023	40616	DTR	71	0.989	7	20.8931	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	57.31	Medium-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Chlorobi	No
AAB-S04R4_NODE_2223_length_38695_cov_4.387526	38695	No terminal repeats	58	0.9889	5	16.838	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	95.57	High-quality	virulent	c__Caudoviricetes	NA	NA	NA	NA	p__Euryarchaeota	No
AAB-S04R4_NODE_1739_length_44978_cov_5.384859	44978	No terminal repeats	66	0.9883	4	20.8296	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	55.31	Medium-quality	temperate	c__Caudoviricetes	NA	Mesyanzhinovviridae	NA	NA	p__Actinobacteriota	No
AAB-S04R4_NODE_1113_length_58638_cov_7.773740	58638	No terminal repeats	86	0.9882	8	50.8602	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	100	High-quality	temperate	c__Caudoviricetes	NA	NA	NA	NA	p__Firmicutes	No
AAB-S04R4_NODE_751_length_72615_cov_13.894915	72615	ITR	97	0.9879	2	41.8463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;	61.87	Medium-quality	virulent	c__Caudoviricetes	NA	Schitoviridae	NA	1	p__Proteobacteria	No
AAB-S04R4_NODE_2218_length_38750_cov_7.295439	38750	No terminal repeats	41	0.9878	2	14.0975	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	59.9	Medium-quality	virulent	c__Caudoviricetes	NA	Peduoviridae	NA	NA	p__Proteobacteria	No
