ARO Accession	CVTERM ID	Drug_Class	ARO Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	CARD Short Name	length
ARO:3002303	38703	Beta-lactams	VIM-33	AFP99175.1	JX258134.1	VIM beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	VIM-33	801
ARO:3002364	38764	Beta-lactams	PER-2	CAA63714.1	X93314.1	PER beta-lactamase	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	PER-2	927
ARO:3002368	38768	Beta-lactams	PER-6	ADD80743.1	GQ396303.1	PER beta-lactamase	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	PER-6	927
ARO:3002375	38775	Beta-lactams	VEB-5	ABN80430.1	EF420108.1	VEB beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	VEB-5	900
ARO:3002482	38882	Beta-lactams	LRA-1	ACH58980.1	EU408346.1	class A LRA beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	LRA-1	888
ARO:3002483	38883	Beta-lactams	LRA-5	ACH59002.1	EU408358.1	class A LRA beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	LRA-5	981
ARO:3002484	38884	Beta-lactams	LRA-13	ACH58991.1	EU408352.1	class C LRA beta-lactamase;class D LRA beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	LRA-13	1830
ARO:3002485	38885	Beta-lactams	LRA-2	ACH58985.1	EU408347.1	subclass B3 LRA beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	LRA-2	909
ARO:3002486	38886	Beta-lactams	LRA-7	ACH58998.1	EU408356.1	subclass B3 LRA beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	LRA-7	909
ARO:3002487	38887	Beta-lactams	LRA-8	ACH58988.1	EU408349.1	subclass B3 LRA beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	LRA-8	918
ARO:3002488	38888	Beta-lactams	LRA-9	ACH58989.1	EU408350.1	subclass B3 LRA beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	LRA-9	906
ARO:3002489	38889	Beta-lactams	LRA-10	ACH58999.1	EU408357.1	class C LRA beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	LRA-10	1128
ARO:3002492	38892	Beta-lactams	LRA-18	ACH58997.1	EU408355.1	class C LRA beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	LRA-18	1161
ARO:3002493	38893	Beta-lactams	SRT-1	BAA23130.1	AB008454.1	SRT beta-lactamase	cephalosporin	antibiotic inactivation	SRT-1	1137
ARO:3002494	38894	Beta-lactams	SRT-2	AAS07017.3	AY524276.3	SRT beta-lactamase	cephalosporin	antibiotic inactivation	SRT-2	1137
ARO:3002510	38910	Beta-lactams	LRA-3	ACH58987.1	EU408348.1	subclass B3 LRA beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	LRA-3	909
ARO:3002511	38911	Beta-lactams	LRA-12	ACH58990.1	EU408351.1	subclass B3 LRA beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	LRA-12	882
ARO:3002512	38912	Beta-lactams	LRA-17	ACH58994.1	EU408354.1	subclass B3 LRA beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	LRA-17	885
ARO:3002513	38913	Beta-lactams	LRA-19	ACH59005.1	EU408359.1	subclass B3 LRA beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	LRA-19	903
ARO:3002514	38914	Beta-lactams	OCH-1	CAC04522.1	AJ401618.1	OCH beta-lactamase	cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	OCH-1	1173
ARO:3002515	38915	Beta-lactams	OCH-2	CAC17622.1	AJ295340.1	OCH beta-lactamase	cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	OCH-2	1173
ARO:3002516	38916	Beta-lactams	OCH-3	CAC17623.1	AJ295341.1	OCH beta-lactamase	cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	OCH-3	1173
ARO:3002518	38918	Beta-lactams	OCH-5	CAC17625.1	AJ295343.1	OCH beta-lactamase	cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	OCH-5	1173
ARO:3002519	38919	Beta-lactams	OCH-6	CAC17626.1	AJ295344.1	OCH beta-lactamase	cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	OCH-6	1173
ARO:3002520	38920	Beta-lactams	OCH-7	CAC17627.1	AJ295345.1	OCH beta-lactamase	cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	OCH-7	1173
ARO:3002522	38922	Aminocoumarin	novA	AAF67494.2	AF170880.4	ATP-binding cassette (ABC) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux	novA	1848
ARO:3002523	38923	Aminoglycoside	AAC(2')-Ia	AAA03550.1	L06156.2	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	AAC(2')-Ia	537
ARO:3002524	38924	Aminoglycoside	AAC(2')-Ib	AAC44793.1	U41471.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	AAC(2')-Ib	588
ARO:3002525	38925	Aminoglycoside	AAC(2')-Ic	CCP42991.1	AL123456.3	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	AAC(2')-Ic	546
ARO:3002526	38926	Aminoglycoside	AAC(2')-Id	AAB41701.1	U72743.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	AAC(2')-Id	633
ARO:3002527	38927	Aminoglycoside	AAC(2')-Ie	CAC32082.1	AL583926.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	AAC(2')-Ie	549
ARO:3002528	38928	Aminoglycoside	AAC(3)-Ia	AAG15269.1	U12338.3	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)-Ia	465
ARO:3002529	38929	Aminoglycoside	AAC(3)-Id	AAR21614.1	AY458224.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)-Id	477
ARO:3002531	38931	Aminoglycoside	AAC(3)-Ic	CAD53575.1	AJ511268.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)-Ic	471
ARO:3002536	38936	Aminoglycoside	AAC(3)-IIIa	CAA39184.1	X55652.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)-IIIa	816
ARO:3002537	38937	Aminoglycoside	AAC(3)-IIIb	KSC15183.1	LLLC01000048.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)-IIIb	819
ARO:3002538	38938	Aminoglycoside	AAC(3)-IIIc	AAA25683.1	L06161.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)-IIIc	840
ARO:3002539	38939	Aminoglycoside	AAC(3)-IVa	ABB43029.1	DQ241380.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)-IVa	777
ARO:3002540	38940	Aminoglycoside	AAC(3)-VIa	AAA16194.1	M88012.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)-VIa	900
ARO:3002541	38941	Aminoglycoside	AAC(3)-VIIa	AAA88552.1	M22999.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)-VIIa	867
ARO:3002542	38942	Aminoglycoside	AAC(3)-VIIIa	AAA26685.1	M55426.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)-VIIIa	861
ARO:3002543	38943	Aminoglycoside	AAC(3)-IXa	AAA25334.1	M55427.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)-IXa	846
ARO:3002544	38944	Aminoglycoside	AAC(3)-Xa	BAA78619.1	AB028210.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	AAC(3)-Xa	855
ARO:3002545	38945	Aminoglycoside	AAC(6')-Ia	AAA98298.1	M18967.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ia	558
ARO:3002546	38946	Aminoglycoside	AAC(6')-Ib	AFJ11384.1	JQ808129.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib	555
ARO:3002549	38949	Aminoglycoside	AAC(6')-Ic	AAA26549.1	M94066.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ic	441
ARO:3002553	38953	Aminoglycoside	AAC(6')-If	CAA39038.1	X55353.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-If	435
ARO:3002554	38954	Aminoglycoside	AAC(6')-Ig	AAA21889.1	L09246.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ig	438
ARO:3002555	38955	Aminoglycoside	AAC(6')-Ih	AAC41391.1	L29044.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ih	441
ARO:3002556	38956	Aminoglycoside	AAC(6')-Ii	AAB63533.1	L12710.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ii	549
ARO:3002557	38957	Aminoglycoside	AAC(6')-Ij	AAC41392.1	L29045.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ij	441
ARO:3002558	38958	Aminoglycoside	AAC(6')-Ik	AAA87229.1	L29510.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ik	438
ARO:3002559	38959	Aminoglycoside	AAC(6')-Ip	CAA91010.1	Z54241.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ip	522
ARO:3002560	38960	Aminoglycoside	AAC(6')-Iq	AAC25500.1	AF047556.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iq	552
ARO:3002561	38961	Aminoglycoside	AAC(6')-Ir	AAD03490.1	AF031326.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ir	441
ARO:3002562	38962	Aminoglycoside	AAC(6')-Is	AAD03491.1	AF031327.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Is	441
ARO:3002563	38963	Aminoglycoside	AAC(6')-Isa	BAD10948.2	AB116646.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Isa	474
ARO:3002564	38964	Aminoglycoside	AAC(6')-It	AAD03492.1	AF031328.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-It	441
ARO:3002565	38965	Aminoglycoside	AAC(6')-Iu	AAD03493.1	AF031329.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iu	441
ARO:3002566	38966	Aminoglycoside	AAC(6')-Iv	AAD03494.1	AF031330.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iv	441
ARO:3002567	38967	Aminoglycoside	AAC(6')-Iw	AAD03495.1	AF031331.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iw	441
ARO:3002568	38968	Aminoglycoside	AAC(6')-Ix	AAD03496.1	AF031332.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ix	441
ARO:3002569	38969	Aminoglycoside	AAC(6')-Iy	AAF03531.1	AF144880.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iy	438
ARO:3002570	38970	Aminoglycoside	AAC(6')-Iz	AAD52985.1	AF140221.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iz	462
ARO:3002571	38971	Aminoglycoside	AAC(6')-Iaa	AAL20537.1	AE006468.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iaa	438
ARO:3002572	38972	Aminoglycoside	AAC(6')-Iad	BAD12078.1	AB119105.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iad	435
ARO:3002575	38975	Aminoglycoside	AAC(6')-Iai	ACI28880.1	EU886977.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iai	567
ARO:3002582	38982	Aminoglycoside	AAC(6')-Ib11	AAN41403.1	AY136758.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib11	570
ARO:3002584	38984	Aminoglycoside	AAC(6')-29b	WP_064190969.1	NG_048576.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-29b	402
ARO:3002585	38985	Aminoglycoside	AAC(6')-31	CAK55557.1	AM283489.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-31	519
ARO:3002586	38986	Aminoglycoside	AAC(6')-32	ABR10839.1	EF614235.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-32	555
ARO:3002587	38987	Aminoglycoside	AAC(6')-I33	AEZ05106.1	JN596280.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-I33	555
ARO:3002588	38988	Aminoglycoside	AAC(6')-I30	AAP43642.1	AY289608.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-I30	555
ARO:3002589	38989	Aminoglycoside	AAC(6')-Iid	CAE50925.1	AJ584700.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iid	549
ARO:3002590	38990	Aminoglycoside	AAC(6')-Iih	CAE50926.1	AJ584701.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Iih	552
ARO:3002591	38991	Aminoglycoside	AAC(6')-Ib-Suzhou	ABU55430.1	EU085533.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC_6_IB_Su	519
ARO:3002593	38993	Aminoglycoside	AAC(6')-Ib-SK	BAD11815.1	AB164230.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-Ib-SK	531
ARO:3002594	38994	Aminoglycoside	AAC(6')-IIa	AAM92464.1	AY123251.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-IIa	555
ARO:3002595	38995	Aminoglycoside	AAC(6')-IIb	AAA25680.1	L06163.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-IIb	543
ARO:3002596	38996	Aminoglycoside	AAC(6')-IIc	AAD46626.1	AF162771.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-IIc	582
ARO:3002597	38997	Aminoglycoside	AAC(6')-Ie-APH(2'')-Ia bifunctional protein	AAA88548.1	GU565967.1	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation	AAC6_Ie_APH2_Ia	1440
ARO:3002600	39000	Aminoglycoside	AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein	AAL82588.1	AF355189.1	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation	AAC_3Ib_AAC_6Ib	1005
ARO:3002601	39001	Aminoglycoside	aadA	AAO49597.1	AF550679.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA	792
ARO:3002603	39003	Aminoglycoside	aadA3	AAC14728.1	AF047479.2	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA3	792
ARO:3002605	39005	Aminoglycoside	aadA5	AAF17880.1	AF137361.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA5	789
ARO:3002608	39008	Aminoglycoside	aadA8	AAN41439.1	AY139603.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA8	792
ARO:3002609	39009	Aminoglycoside	aadA9	ABG49324.1	DQ390458.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA9	900
ARO:3002613	39013	Aminoglycoside	aadA13	ABW91178.1	EU746499.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA13	798
ARO:3002614	39014	Aminoglycoside	aadA14	CAI57696.1	AJ884726.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA14	786
ARO:3002619	39019	Aminoglycoside	aadA22	CAK12750.1	AM261837.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA22	792
ARO:3002620	39020	Aminoglycoside	aadA23	CAH10847.1	AJ809407.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA23	780
ARO:3002623	39023	Aminoglycoside	ANT(4')-Ia	AAA92254.1	K02551.1	ANT(4')	aminoglycoside antibiotic	antibiotic inactivation	ANT(4')-Ia	762
ARO:3002624	39024	Aminoglycoside	ANT(4')-IIa	AAA25717.1	M98270.1	ANT(4')	aminoglycoside antibiotic	antibiotic inactivation	ANT(4')-IIa	759
ARO:3002626	39026	Aminoglycoside	ANT(6)-Ia	AHE40557.1	KF648874.1	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation	ANT(6)-Ia	864
ARO:3002629	39029	Aminoglycoside	ANT(6)-Ib	CBH51824.1	FN594949.1	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation	ANT(6)-Ib	858
ARO:3002630	39030	Aminoglycoside	ANT(9)-Ia	CAA26428.1	X02588.1	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation	ANT(9)-Ia	783
ARO:3002631	39031	Aminoglycoside	spd	AGW81558.1	KC895984.1	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation	spd	774
ARO:3002634	39034	Aminoglycoside	APH(2'')-Ie	AAX38178.1	AY939911.1	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')-Ie	906
ARO:3002635	39035	Aminoglycoside	APH(2'')-IIa	AAK63040.1	AF337947.1	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')-IIa	900
ARO:3002636	39036	Aminoglycoside	APH(2'')-IIIa	AAB49832.1	U51479.1	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')-IIIa	921
ARO:3002637	39037	Aminoglycoside	APH(2'')-IVa	AAC14693.1	AF016483.1	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')-IVa	906
ARO:3002640	39040	Aminoglycoside	APH(3'')-Ic	ABC68330.1	DQ336355.1	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation	APH(3'')-Ic	765
ARO:3002641	39041	Aminoglycoside	APH(3')-Ia	CAE51638.1	BX664015.1	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	APH(3')-Ia	816
ARO:3002642	39042	Aminoglycoside	APH(3')-Ib	AAA26412.1	M20305.1	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	APH(3')-Ib	816
ARO:3002644	39044	Aminoglycoside	APH(3')-IIa	CAA23892.1	V00618.1	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	APH(3')-IIa	795
ARO:3002645	39045	Aminoglycoside	APH(3')-IIb	CAA62365.1	X90856.1	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	APH(3')-IIb	807
ARO:3002646	39046	Aminoglycoside	APH(3')-IIc	ADQ43421.1	HQ424460.1	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	APH(3')-IIc	804
ARO:3002647	39047	Aminoglycoside	APH(3')-IIIa	AGV10830.1	CP004067.1	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	APH(3')-IIIa	795
ARO:3002648	39048	Aminoglycoside	APH(3')-IVa	CAA27061.1	X03364.1	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	APH(3')-IVa	789
ARO:3002649	39049	Aminoglycoside	APH(3')-Va	AAA26699.1	K00432.1	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	APH(3')-Va	807
ARO:3002650	39050	Aminoglycoside	APH(3')-Vb	AAC32025.1	M22126.1	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	APH(3')-Vb	792
ARO:3002651	39051	Aminoglycoside	APH(3')-Vc	AAB21326.1	S81599.1	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	APH(3')-Vc	795
ARO:3002655	39055	Aminoglycoside	APH(4)-Ia	CAA24743.1	V01499.1	APH(4)	aminoglycoside antibiotic	antibiotic inactivation	APH(4)-Ia	1026
ARO:3002657	39057	Aminoglycoside	APH(6)-Ia	CAA68516.1	Y00459.1	APH(6)	aminoglycoside antibiotic	antibiotic inactivation	APH(6)-Ia	924
ARO:3002658	39058	Aminoglycoside	APH(6)-Ib	CAA29136.1	X05648.1	APH(6)	aminoglycoside antibiotic	antibiotic inactivation	APH(6)-Ib	924
ARO:3002659	39059	Aminoglycoside	APH(6)-Ic	CAA25854.1	X01702.1	APH(6)	aminoglycoside antibiotic	antibiotic inactivation	APH(6)-Ic	801
ARO:3002660	39060	Aminoglycoside	APH(6)-Id	AAC23556.1	AF024602.1	APH(6)	aminoglycoside antibiotic	antibiotic inactivation	APH(6)-Id	837
ARO:3002661	39061	Aminoglycoside	APH(7'')-Ia	CAA27276.1	X03615.1	APH(7'')	aminoglycoside antibiotic	antibiotic inactivation	APH(7'')-Ia	999
ARO:3002662	39062	Aminoglycoside	APH(9)-Ia	AAB58447.1	U94857.1	APH(9)	aminoglycoside antibiotic	antibiotic inactivation	APH(9)-Ia	996
ARO:3002663	39063	Aminoglycoside	APH(9)-Ib	AAB66655.1	U70376.2	APH(9)	aminoglycoside antibiotic	antibiotic inactivation	APH(9)-Ib	993
ARO:3002665	39065	Aminoglycoside	npmA	BAF80809.1	AB261016.2	16S rRNA methyltransferase (A1408)	aminoglycoside antibiotic	antibiotic target alteration	npmA	660
ARO:3002667	39067	Aminoglycoside	rmtD	ABY64751.1	EU269034.2	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	rmtD	744
ARO:3002668	39068	Aminoglycoside	rmtG	AGE00988.1	JX486113.1	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	rmtG	795
ARO:3002675	39109	Phenicol	catB2	AAP15294.1	AY232670.1	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	catB2	633
ARO:3002676	39110	Phenicol	catB3	AFQ93498.1	JX101693.1	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	catB3	633
ARO:3002678	39112	Phenicol	Pseudomonas aeruginosa catB6	CAA11473.1	AJ223604.1	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	Paer_catB6	633
ARO:3002679	39113	Phenicol	Pseudomonas aeruginosa catB7	NP_249397.1	NC_002516.2	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	Paer_catB7	639
ARO:3002680	39114	Phenicol	catB8	AAM92461.1	AY123251.1	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	catB8	633
ARO:3002681	39115	Phenicol	catB9	AAL68645.1	AF462019.1	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	catB9	630
ARO:3002685	39119	Phenicol	catIII	CAA30695.1	X07848.1	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	catIII	642
ARO:3002690	39124	Phenicol	Streptomyces lividans cmlR	CAA42594.1	X59968.1	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	Sliv_cmlR	1179
ARO:3002691	39125	Phenicol	Salmonella enterica cmlA	CAD31707.1	AJ487033.2	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	Sent_cmlA	1173
ARO:3002694	39128	Phenicol	cmlA4	AAF27726.1	AF156486.1	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	cmlA4	1260
ARO:3002695	39129	Phenicol	cmlA5	AAM77075.1	AY115475.1	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	cmlA5	1260
ARO:3002696	39130	Phenicol	cmlA6	AAK52606.1	AF294653.1	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	cmlA6	1260
ARO:3002698	39132	Phenicol	cmlB	AAD22144.1	AF034958.3	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	cmlB	1230
ARO:3002699	39133	Phenicol	cmlB1	CAL30186.1	AM296481.1	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	cmlB1	1266
ARO:3002700	39134	Phenicol	cmlv	AAB36568.1	U09991.1	chloramphenicol phosphotransferase	phenicol antibiotic	antibiotic inactivation	cmlv	1311
ARO:3002701	39135	Phenicol	Rhodococcus fascians cmr	CAA78046.1	Z12001.1	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	Rfas_cmr	1176
ARO:3002702	39136	Phenicol	cmrA	AAC45805.1	AF015087.1	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	cmrA	1176
ARO:3002703	39137	Phenicol	cmx	AAG03380.1	AF024666.2	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	cmx	1176
ARO:3002704	39138	Phenicol	fexA	CAD70268.1	AJ549214.1	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	fexA	1428
ARO:3002705	39139	Phenicol	floR	AAG16656.1	AF231986.2	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	floR	1215
ARO:3002707	39141	Fluoroquinolone	QnrA1	ABI50486.1	DQ831141.1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrA1	657
ARO:3002708	39142	Fluoroquinolone	QnrA2	ADU33193.1	HQ449669.1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrA2	657
ARO:3002709	39143	Fluoroquinolone	QnrA3	AAZ04782.1	DQ058661.1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrA3	657
ARO:3002710	39144	Fluoroquinolone	QnrA4	AAZ04783.1	DQ058662.1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrA4	657
ARO:3002711	39145	Fluoroquinolone	QnrA5	AAZ04784.1	DQ058663.1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrA5	657
ARO:3002712	39146	Fluoroquinolone	QnrA6	AAZ78355.1	DQ151889.1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrA6	657
ARO:3002713	39147	Fluoroquinolone	QnrA7	ACV83303.2	GQ463707.3	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrA7	657
ARO:3002715	39149	Fluoroquinolone	QnrB2	ABO93588.1	EF488762.1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrB2	645
ARO:3002718	39152	Fluoroquinolone	QnrB4	ABC17630.3	DQ303921.2	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrB4	645
ARO:3002721	39155	Fluoroquinolone	QnrB7	ABW03156.3	EU043311.3	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrB7	645
ARO:3002722	39156	Fluoroquinolone	QnrB8	ABW03157.2	EU043312.2	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrB8	645
ARO:3002738	39172	Fluoroquinolone	QnrB23	ACS71747.1	FJ981622.1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrB23	681
ARO:3002739	39173	Fluoroquinolone	QnrB24	ADI46626.1	HM192542.1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	QnrB24	681
