ID	Completeness (%)	Contamination (%)	Genome_size	GC_content	Group	GTDB_classification	Min_contig_length	Max_contig_length	Mean_contig_length	Median_contig_length	N50	Num_contig	tRNA	5S_ribosomal_RNA	16S_ribosomal_RNA	23S_ribosomal_RNA	5S+16S+23S	NCBI_classification
AAB-S13R3_251	96.58	2.56	4997995	58.34	Near complete	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae;Sulfotelmatobacter	1506	479817	30290	2963	170477	165	46	1	1	0	0	Bacteria;Acidobacteria
AAB-S13R3_25	72.65	4.14	3434708	57.32	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae;Sulfotelmatobacter	1516	70840	11079	6828	17817	310	27	1	0	1	0	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae
AAB-S13R3_30	94.44	0	3068254	61.23	Near complete	Bacteria;Eremiobacterota;Eremiobacteria;Eremiobacterales;Eremiobacteraceae	1549	436433	52004	14598	130883	59	44	1	1	1	1	Bacteria;candidate division WPS-2
AAB-S13R3_3	94.32	2.94	4858881	56.4	Near complete	Bacteria;Planctomycetota;Phycisphaerae;UBA1161;UBA1161;PALSA-1353	2381	81470	13422	10219	16985	362	45	1	2	1	1	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales
AAB-S13R3_57	88.28	3.96	5462240	52.38	Medium quality	Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae	1675	49624	9616	7302	12441	568	32	3	1	3	1	Bacteria;Chloroflexi
AAB-S13R3_59	81.59	2.75	4148456	70.31	Medium quality	Bacteria;Actinobacteriota;Actinomycetia;Streptosporangiales;Streptosporangiaceae;Palsa-504	2000	49349	7290	4773	10811	569	26	0	1	1	0	Bacteria;Actinobacteria;Actinobacteria
AAB-S13R3_64	92.07	5.72	6522026	55.02	Medium quality	Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae	1076	40350	6431	5022	7957	1014	48	2	1	3	1	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales
AAB-S13R3_72	85.77	3.38	5926006	68.2	Medium quality	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-465	2057	64926	11642	8713	15008	509	41	1	1	0	0	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
AAB-S13R3_85	94.78	3.48	6478640	58.58	Near complete	Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Palsa-89	1617	79228	16871	12226	24848	384	44	1	1	0	0	Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales
AAB-S13R3_92	86.67	1.93	2911292	61.18	Medium quality	Bacteria;Proteobacteria;Alphaproteobacteria;UBA1301;UBA1301;UBA6038	1001	22712	4951	3864	6366	588	33	1	0	1	0	Bacteria;Proteobacteria;Alphaproteobacteria
AAB-S14R1_110	86.05	2.29	5518379	55.27	Medium quality	Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae	2001	27459	4348	3479	4835	1269	33	2	1	4	1	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales
AAB-S14R1_120	96.62	4.65	2570733	55.43	Near complete	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;UBA10450;AV40	1569	59280	10986	7226	18043	234	48	0	0	2	0	Bacteria;Verrucomicrobia
AAB-S14R1_124	62.38	1.61	2101148	63.28	Partial	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;Methyloceanibacter;Methyloceanibacter sp002383105	1003	10332	2179	1833	2430	964	32	1	0	1	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae
AAB-S14R1_150	70.6	2.54	2163206	56.01	Medium quality	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Anderseniellaceae;PALSA-927	1001	7979	2080	1705	2239	1040	20	0	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales
AAB-S14R1_152	92.59	0	2775971	67.97	Near complete	Bacteria;Dormibacterota;Dormibacteria	2004	59044	9284	6220	12665	299	36	1	0	1	0	Bacteria;candidate division AD3
AAB-S14R1_154	72.96	2.99	3006504	54.85	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;UBA7541;UBA7541;UBA7541	1002	9715	2334	1949	2579	1288	19	0	0	0	0	Bacteria;Acidobacteria
AAB-S14R1_157	94	3.48	4944067	62.34	Near complete	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Palsa-1005;PALSA-1003	1463	49967	9258	6048	13781	534	33	0	1	0	0	Bacteria;Proteobacteria;Betaproteobacteria
AAB-S14R1_161	96.37	0.71	2308595	64.06	Near complete	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;Methyloceanibacter	1533	69110	12754	8733	19420	181	37	1	0	1	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales
AAB-S14R1_164	83.32	5.25	2205522	65.01	Medium quality	Bacteria;Dormibacterota;Dormibacteria;Dormibacterales;Dormibacteraceae;Palsa-872	2012	20580	5105	4311	5644	432	34	1	0	1	0	Bacteria;candidate division AD3
AAB-S14R1_169	91.3	3.89	5028311	55.65	Near complete	Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;UBA11741	1500	53103	6389	3496	11042	787	79	2	4	9	1	Bacteria;Acidobacteria;Blastocatellia;unknown;unknown;Chloracidobacterium
AAB-S14R1_16	88.39	6.58	6151309	70.2	Medium quality	Bacteria;Acidobacteriota;Thermoanaerobaculia;UBA5704;UBA5704;UBA5704	1754	54408	10084	8306	12462	610	43	0	1	0	0	Bacteria;Acidobacteria;Holophagae;Holophagales
AAB-S14R1_28	77.08	2.93	2416075	68.44	Medium quality	Bacteria;Dormibacterota;Dormibacteria;UBA8260;UBA8260;Palsa-875	1001	16638	2714	2103	3222	890	33	0	1	0	0	Bacteria;candidate division AD3
AAB-S14R1_55	89.14	3.7	4485103	55.52	Medium quality	Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;UBA11741	1625	98446	11354	8106	15616	395	37	0	1	0	0	Bacteria;Acidobacteria;Blastocatellia;unknown;unknown;Chloracidobacterium
AAB-S14R1_65	97.42	2.58	4953153	69.97	Near complete	Bacteria;Myxococcota;Myxococcia;Myxococcales;40CM-4-68-19;40CM-4-68-19	1000	210584	28142	18617	57904	176	42	1	1	1	1	Bacteria;Proteobacteria;Deltaproteobacteria
AAB-S14R1_67	99.15	3.22	5042270	69.71	Near complete	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-465	1500	147699	9167	3829	20641	550	36	1	1	0	0	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
AAB-S14R1_95	95.6	5.4	8304017	60.85	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae	1504	111278	10214	4863	20641	813	50	1	2	1	1	Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales
AAB-S14R1_9	75.77	3.89	2760949	66.58	Medium quality	Bacteria;Dormibacterota;Dormibacteria	1004	15340	2454	1899	2825	1125	32	1	0	0	0	Bacteria;Chloroflexi
AAB-S14R2_103	74.91	1.97	2636296	47.07	Medium quality	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;UBA8621	2003	19570	4336	3519	4790	608	23	0	1	0	0	Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae
AAB-S14R2_116	93.96	4.27	4023111	44.39	Near complete	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;UBA8621	1004	27480	4894	3436	7222	822	28	0	0	0	0	Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae
AAB-S14R2_11	92.25	5.74	5548963	62.98	Medium quality	Bacteria;Eremiobacterota;Eremiobacteria;UBP12;UBA5184;BOG-1502	1589	80413	13735	9379	21408	404	47	1	0	1	0	Bacteria;candidate division WPS-2
AAB-S14R2_12	78.41	2.58	6555219	69.89	Medium quality	Bacteria;Actinobacteriota;Actinomycetia;Streptosporangiales;Streptosporangiaceae;Bog-532	1501	74728	10522	5491	20967	623	37	1	0	1	0	Bacteria;Actinobacteria;Actinobacteria
AAB-S14R2_141	72.06	3.35	3490130	65.25	Medium quality	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Lichenihabitans	1012	19322	3539	2985	4105	986	27	0	1	0	0	Bacteria
AAB-S14R2_149	84.05	1.14	6402049	58.54	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae;PALSA-350	1000	52639	7778	4849	13781	823	57	0	4	3	0	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae
AAB-S14R2_15	80.48	4.26	3156160	63.02	Medium quality	Bacteria;Proteobacteria;Alphaproteobacteria;UBA1301;UBA1301;UBA6038	1504	42943	4476	3202	5564	705	28	0	1	0	0	Bacteria;Proteobacteria;Alphaproteobacteria
AAB-S14R2_168	87.74	5.18	6283143	63.58	Medium quality	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodopila	1330	47829	6734	4733	9196	933	35	0	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae
AAB-S14R2_44	93.86	1.37	6185005	58.41	Near complete	Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae	1196	66787	8392	6282	10934	737	38	1	0	1	0	Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales
AAB-S14R2_4	96.31	5.84	8317408	70.75	Medium quality	Bacteria;Actinobacteriota;Actinomycetia;Streptosporangiales;Streptosporangiaceae;Palsa-504	1452	114723	16634	11229	24836	500	52	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria
AAB-S14R2_52	83.75	0.86	678298	40.07	Medium quality	Bacteria;Patescibacteria;Paceibacteria;UBA9983;UBA9973;UBA4124	2096	71607	14131	9392	24264	48	39	0	2	1	0	Bacteria;Candidatus Nomurabacteria
AAB-S14R2_57	99.32	4.07	5053403	54.57	Near complete	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales	1544	190906	22866	12020	44595	221	42	0	1	0	0	Bacteria;Verrucomicrobia
AAB-S14R2_5	86.56	4.38	4497622	58.76	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae;PALSA-350	1021	22929	4479	3656	5435	1004	31	0	0	0	0	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae
AAB-S14R2_66	94.66	3.55	4051704	63.55	Near complete	Bacteria;Eremiobacterota;Eremiobacteria;UBP12;UBA5184;Palsa-1515	1013	77008	8904	5142	15915	455	54	0	1	0	0	Bacteria;candidate division WPS-2
AAB-S14R2_67	82.73	3.71	3398726	69.53	Medium quality	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;70-9;VAYN01	2409	92072	17165	13191	22606	198	43	1	0	1	0	Bacteria;Actinobacteria;Actinobacteria
AAB-S14R2_91	70.99	4.06	4972631	62.29	Medium quality	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium	1001	39891	2375	1829	2740	2093	27	1	1	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium
AAB-S14R2_99	75	3.13	5119635	63.86	Medium quality	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodopila	2001	22492	5053	3951	6053	1013	39	0	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae
AAB-S14R3_109	90.65	0.48	3058501	54.98	Near complete	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae	2011	49492	6332	4921	7860	483	37	0	1	0	0	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae
AAB-S14R3_136	97.69	3.45	3501477	68.94	Near complete	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-465	1003	72969	6263	2104	18712	559	38	1	1	2	1	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
AAB-S14R3_141	66.21	2.94	2260257	63.94	Partial	Bacteria;Desulfobacterota_B;Binatia;Binatales;Binataceae	2000	24580	4708	3739	5593	480	19	0	0	0	0	Bacteria;Proteobacteria;Deltaproteobacteria
AAB-S14R3_150	96.35	0.08	2500557	69.39	Near complete	Bacteria;Dormibacterota;Dormibacteria;UBA8260;UBA8260;Palsa-875	2597	195724	37321	22017	55908	67	44	1	0	1	0	Bacteria;candidate division AD3
AAB-S14R3_172	84.6	2.13	3381284	64.37	Medium quality	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Palsa-1005;PALSA-1003	2082	43651	9314	7530	11202	363	30	0	0	0	0	Bacteria;Proteobacteria;Betaproteobacteria
AAB-S14R3_180	79.36	4.29	4329325	68.49	Medium quality	Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;Palsa-688	1510	28020	5438	4070	6978	796	39	0	0	0	0	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
AAB-S14R3_183	97.22	0.39	3620797	68.19	Near complete	Bacteria;Dormibacterota;Dormibacteria	1017	87242	8136	2869	22593	445	39	1	1	0	0	Bacteria;Chloroflexi
AAB-S14R3_184	97.86	2.64	3129959	68.05	Near complete	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-744	1524	240981	33655	15668	85944	93	47	1	1	3	1	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
AAB-S14R3_188	97.89	4.73	5262693	54.77	Near complete	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales	2001	121533	10278	4890	22607	512	41	1	1	1	1	Bacteria;Verrucomicrobia
AAB-S14R3_210	91.1	2.78	2942420	68.63	Near complete	Bacteria;Dormibacterota;Dormibacteria;UBA8260;UBA8260;Palsa-875	2017	125959	12682	8677	19102	232	47	1	1	1	1	Bacteria;candidate division AD3
AAB-S14R3_212	80.41	1.45	4968502	73.57	Medium quality	Bacteria;Actinobacteriota;Actinomycetia;Mycobacteriales;Pseudonocardiaceae;Pseudonocardia	2001	19185	4369	3584	4908	1137	23	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia
AAB-S14R3_21	92.35	7.71	3802577	67.23	Medium quality	Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;13-2-20CM-66-19	2011	71992	10772	6003	19344	353	41	1	1	0	0	Bacteria;Proteobacteria;Gammaproteobacteria
AAB-S14R3_240	77.38	0	3392933	68.5	Medium quality	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-465	1501	35082	4523	3319	5827	750	17	0	1	0	0	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
AAB-S14R3_38	90.35	2.65	3529278	68.34	Near complete	Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;13-2-20CM-66-19	2023	103813	12383	8240	18850	285	28	1	0	1	0	Bacteria;Proteobacteria;Gammaproteobacteria
AAB-S14R3_3	87.92	2.99	5374939	57.85	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae	2002	68520	8599	6030	11422	625	35	1	0	0	0	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales
AAB-S14R3_43	75.17	1.35	6064204	66.28	Medium quality	Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales;Reyranellaceae;Reyranella	2001	27321	4763	3590	5414	1273	30	0	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales
AAB-S14R3_59	94.59	4.27	2896817	69.56	Near complete	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-465	2001	51642	7082	3581	11484	409	33	1	1	0	0	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
AAB-S14R3_62	96.21	0.1	3203510	66.52	Near complete	Bacteria;Dormibacterota;Dormibacteria	1000	44422	6220	3038	11380	515	44	1	2	2	1	Bacteria;Chloroflexi
AAB-S14R3_78	96.94	2.76	7720037	71.01	Near complete	Bacteria;Actinobacteriota;Actinomycetia;Mycobacteriales;Pseudonocardiaceae;Pseudonocardia	2004	101069	11804	7897	17683	654	45	2	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia
AAB-S14R3_84	65.74	1.57	2394467	71.52	Partial	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-465	1076	12436	3843	3447	4216	623	19	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria
AAB-S14R3_86	91.26	2.87	5437816	58.06	Near complete	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae;Terracidiphilus	2011	38113	7605	5685	9881	715	37	1	0	1	0	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae
AAB-S14R3_99	94.3	1	4926165	68.87	Near complete	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-465	1523	161981	17530	7110	44208	281	45	1	1	0	0	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
AAB-S15R1_105	78.35	2.83	2936322	66.32	Medium quality	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Palsa-1005;PALSA-1003	1030	24501	3868	2989	4636	759	13	1	0	1	0	Bacteria;Proteobacteria;Betaproteobacteria
AAB-S15R1_19	57.9	0	2405644	69.45	Partial	Bacteria;Actinobacteriota;Actinomycetia;Mycobacteriales;Jatrophihabitantaceae;QHCC01	1230	25512	4939	4062	5710	487	18	0	1	0	0	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales
AAB-S15R1_44	68.07	1.58	1849395	56.21	Partial	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;UBA10450;AV69	1505	15436	3626	2979	3969	510	16	0	0	0	0	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales
AAB-S15R1_61	67.7	1.21	3180911	54.17	Partial	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales	1002	15387	1786	1513	1826	1781	8	0	0	0	0	Bacteria;Verrucomicrobia
AAB-S15R1_82	54.37	0.16	2687225	70.82	Partial	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;RPRB01	1002	12265	2889	2545	3203	930	19	0	1	0	0	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae
AAB-S15R2_3	59.28	0.43	1749121	69.35	Partial	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;70-9	1006	12949	2724	2337	3108	642	34	1	0	0	0	Bacteria;Actinobacteria;Actinobacteria
AAB-S15R2_64	84.8	5.86	3766624	55.88	Medium quality	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales	1000	22695	2895	1768	4155	1301	11	0	0	0	0	Bacteria;Verrucomicrobia
AAB-S15R2_93	83.28	3.16	2852022	67.76	Medium quality	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;70-9	1103	43946	7407	5354	9655	385	42	1	1	1	1	Bacteria;Actinobacteria;Actinobacteria
AAB-S15R2_98	92.69	3.42	4141319	57.5	Near complete	Bacteria;Acidobacteriota;Acidobacteriae;UBA7541;UBA7541;Palsa-295	1502	115624	14231	7734	29196	291	28	1	0	2	0	Bacteria;Acidobacteria
AAB-S15R3_116	75.72	4.56	2978392	68.98	Medium quality	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;70-9;VAYN01	1007	22049	3483	2695	4301	855	43	0	1	0	0	Bacteria;Actinobacteria;Actinobacteria
AAB-S15R3_121	97.01	6.94	8137886	68.92	Medium quality	Bacteria;Actinobacteriota;Actinomycetia;Streptosporangiales;Streptosporangiaceae;Palsa-504	1001	80991	6174	2521	14749	1318	47	1	1	1	1	Bacteria;Actinobacteria;Actinobacteria
AAB-S15R3_125	83.74	6.14	5304942	53.23	Medium quality	Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae	2001	23753	4200	3470	4486	1263	16	2	0	0	0	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Thermosporotrichaceae
AAB-S15R3_133	73.33	3.04	3356359	54.85	Medium quality	Bacteria;Acidobacteriota;Acidobacteriae;UBA7541;UBA7541;UBA7541	1001	15461	2753	2199	3155	1219	19	0	0	0	0	Bacteria;Acidobacteria
AAB-S15R3_147	73.82	2.45	4489118	72.49	Medium quality	Bacteria;Actinobacteriota;Actinomycetia;Mycobacteriales;Pseudonocardiaceae;Pseudonocardia	2004	16125	4215	3613	4627	1065	22	1	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia
AAB-S15R3_148	82.93	2.16	3049439	70.19	Medium quality	Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales	2659	73374	14316	11090	18595	213	43	0	1	0	0	Bacteria;Actinobacteria;Actinobacteria
AAB-S15R3_15	83.99	2.99	4406035	66.37	Medium quality	Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae	1166	33414	6489	5128	7886	679	43	0	0	0	0	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
AAB-S15R3_166	85.62	5.09	5911993	56.08	Medium quality	Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;UBA11740	1501	52342	7122	5032	9494	830	31	1	1	1	1	Bacteria;Acidobacteria;Blastocatellia
AAB-S15R3_169	95.7	5.48	2835882	69.14	Medium quality	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-744	2000	66960	8917	4060	18157	318	44	1	1	1	1	Bacteria;Actinobacteria;Actinobacteria
AAB-S15R3_29	95.27	6.08	4943068	54.29	Medium quality	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales	1528	46452	8702	6558	11241	568	31	0	1	0	0	Bacteria;Verrucomicrobia
AAB-S15R3_3	86.57	3.5	3843089	67.46	Medium quality	Bacteria;Actinobacteriota;Actinomycetia;Mycobacteriales;Jatrophihabitantaceae;QHCC01	1143	28619	7462	5515	10033	515	40	0	1	0	0	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales
AAB-S15R3_51	95.3	1.99	4246878	72.84	Near complete	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae	4263	209636	42468	29701	71935	100	41	1	1	1	1	Bacteria;Actinobacteria;Actinobacteria
AAB-S15R3_79	60.91	2.14	2203757	58.38	Partial	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae;Bog-209	2001	16028	3977	3315	4301	554	9	0	0	0	0	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae
AAB-S15R3_83	83.34	3.56	3873298	69.2	Medium quality	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Palsa-465	1003	27025	3767	2941	4768	1028	30	0	0	0	0	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales
AAB-S17R1_10	93.41	4.56	2653747	65.13	Near complete	Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;GWC2-71-9;Palsa-1233	1363	56769	11340	7791	16671	234	39	1	0	1	0	Bacteria;Gemmatimonadetes
AAB-S17R1_16	87.52	4.32	2441237	69.56	Medium quality	Bacteria;Chloroflexota;Ellin6529;P2-11E;P2-11E	1007	51575	7558	5091	11735	323	46	0	0	0	0	Bacteria;Chloroflexi
AAB-S17R1_20	99.95	2.6	4562036	65.08	Near complete	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;SCMT01	1515	498581	52437	32256	108665	87	44	1	1	3	1	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
AAB-S17R1_26	81.33	2.37	2233567	68.46	Medium quality	Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella	1001	12540	2627	2013	3201	850	31	1	1	1	1	Bacteria;Actinobacteria;Rubrobacteria;Gaiellales;Gaiellaceae;Gaiella
AAB-S17R1_27	66.5	1.89	3474074	66.26	Partial	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Nevskiaceae;Panacagrimonas	2004	21936	3809	3157	3997	912	25	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Sinobacteraceae;Panacagrimonas
AAB-S17R1_3	73.06	1.8	6507881	71.27	Medium quality	Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae	1032	30862	4979	4230	5557	1307	37	0	0	0	0	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales
AAB-S17R1_43	98.99	1.56	3117245	38.49	Near complete	Bacteria;Verrucomicrobiota_A;Chlamydiia;Parachlamydiales;Parachlamydiaceae	1012	113154	8517	3634	18202	366	37	1	2	1	1	Bacteria;Chlamydiae;Chlamydiia;Chlamydiales
AAB-S17R1_45	98.26	1.45	2152060	39.85	Near complete	Bacteria;Proteobacteria;Gammaproteobacteria;UBA6002;UBA6002	2069	108826	18713	13794	26026	115	38	1	1	1	1	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae
AAB-S17R1_49	77.26	4.83	3624712	54.49	Medium quality	Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;OLB17	2001	178989	21967	14207	38883	165	28	0	0	0	0	Bacteria;Acidobacteria
AAB-S17R1_50	94.32	1.14	6960944	68.04	Near complete	Bacteria;Planctomycetota;UBA1135;UBA2386;UBA2386;UBA2386	2061	65497	13838	9268	21359	503	45	0	0	0	0	Bacteria;Planctomycetes
AAB-S17R1_53	98.05	5.19	8846370	70.51	Medium quality	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae	1014	223563	36255	18439	82113	244	66	0	1	0	0	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae
AAB-S17R1_5	95.38	5.35	4032660	47.13	Medium quality	Bacteria;Proteobacteria;Gammaproteobacteria;SZUA-229;SZUA-229	1505	43284	7025	4771	9833	574	40	2	1	0	0	Bacteria;Proteobacteria;Gammaproteobacteria
AAB-S17R1_63	98.02	2.23	5398308	44.58	Near complete	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae	2002	394013	44614	22725	92861	121	41	1	0	1	0	Bacteria;Bacteroidetes
AAB-S17R1_68	78.25	1.64	2597525	62.98	Medium quality	Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;UBA668	2003	34834	6229	4902	7839	417	38	0	1	0	0	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
